FID_1,Slope,Elevation,Curvature,Flow,Riverdist,Drianageden,Geology,Rainfall,SPI,TWI,CN,flood_label
56,1.949787,112.706875,-0.0008,87.674375,1360.543399,0.000305,4,1452.969777,-5.098057,8.118911,81.43,1
57,1.739781,112.9,0.0016,137.123125,870.343609,0.118339,4,1452.137722,-5.045139,8.354202,79.1125,1
58,1.64499,114.651875,0.0116,92.08,400.250946,0.308554,4,1451.462587,-6.476429,7.912007,79.105,1
59,1.614049,113.8175,-0.0004,349.80375,100.86575,0.422212,4,1450.956033,-5.055198,8.448115,79,1
60,1.601067,113.82875,-0.0024,1448.783125,371.39241,0.433311,4,1450.626073,-5.411581,8.457598,79.405,1
61,1.514197,113.74875,-0.0012,1362.434375,823.726133,0.345208,4,1450.476144,-3.90263,9.446317,79.41625,1
62,1.620794,114.414375,0.0052,345.434375,1275.872768,0.020077,4,1450.504545,-4.56895,8.435424,79,1
63,1.687599,115.675625,0,29.668125,1729.932003,0,4,1450.704264,-5.74534,8.197524,79.005625,1
64,1.53995,116.857143,-0.007805,14.326829,2083.40434,0,4,1450.939931,-5.958182,8.358469,79,1
65,1.811431,119.118421,0.060541,3.783784,2912.211769,0,4,1451.38238,-6.691777,7.376305,88,1
66,2.583874,118.846154,-0.037647,13.258824,3026.13987,0,4,1451.536772,-4.656139,7.263451,87.482759,1
67,1.494919,114.054878,0.012973,113173.2568,1881.996424,0,4,1457.507388,-6.04409,8.131635,79,1
68,1.843573,113.304721,-0.006887,54091.91248,2001.757007,0,4,1456.710074,-4.899005,8.202628,79,1
69,1.698373,113.023125,0.0088,40.194375,2178.301118,0,4,1455.419498,-4.673295,8.143692,79,1
70,1.391705,112.51875,-0.0108,9821.940625,2288.128119,0,4,1454.127263,-5.069989,8.875031,79,1
71,1.391377,112.335625,0.0032,3367.8275,1881.086126,0,4,1452.94893,-5.188912,8.76316,79,1
72,1.700209,113.87375,-0.002,44.356875,1394.557225,0.000066,4,1451.903362,-5.299193,8.401031,79.225,1
73,1.791881,115.115625,-0.002,47.29,922.566199,0.063566,4,1451.009283,-5.288405,8.159802,80.648125,1
74,1.557934,113.689375,-0.0076,55.53,507.281897,0.191417,4,1450.284047,-3.655276,9.33048,79.241875,1
75,1.513804,113.834375,0.0004,314.116875,396.185811,0.262076,4,1449.742245,-4.520135,9.164889,79,1
76,1.831422,113.92,0.0076,1403.973125,632.405474,0.271508,4,1449.394268,-4.762064,8.571052,79,1
77,1.368219,114.118125,0,200.220625,1009.676557,0.122023,4,1449.245061,-5.124768,9.17395,79,1
78,1.221061,114.04125,-0.006,1065.843125,1461.733334,0,4,1449.293276,-4.926557,9.436915,79,1
79,1.478323,115.545625,-0.004,489.56125,1927.936168,0,4,1449.531029,-5.32682,8.904542,80.378125,1
80,1.62056,116.771331,0.008261,190.936821,2383.142396,0,4,1449.893651,-3.625777,9.447379,80.122699,1
81,1.409966,116.053659,-0.011173,63.728352,2866.85508,0,4,1450.478362,-2.561508,10.043802,79.622207,1
82,1.333411,118.240376,0.004303,20.584034,3265.008018,0,4,1451.138442,-6.258375,8.809549,80.372881,1
83,0.886545,120,0,0,3498.36582,0,4,1451.85564,-17.428923,8.903652,79,1
84,2.528709,114.820574,0.0032,5.9375,1436.055297,0,4,1457.050221,-5.6369,6.811856,79,1
85,1.742813,112.86375,0.0096,28.803125,1539.504642,0,4,1456.125069,-4.284047,8.708078,79,1
86,1.388149,112.949375,-0.0016,4520.991875,1736.013305,0,4,1454.65344,-4.930282,9.415544,79,1
87,1.53468,112.53375,-0.0072,6466.578125,2033.756012,0,4,1453.277274,-4.284068,9.413563,79,1
88,1.736217,113.67375,-0.004,44.811875,2004.953999,0,4,1452.016983,-5.231208,8.329001,79,1
89,1.553798,115.504375,0.006,25.696875,1593.245754,0,4,1450.894409,-5.363557,8.505559,80.69875,1
90,1.724769,115.389375,-0.0036,25.24125,1201.942662,0.007949,4,1449.93175,-5.309618,8.3532,80.28,1
91,1.344764,115.086875,0.0024,41.985625,922.566199,0.064919,4,1449.150103,-5.28731,8.867595,81.094375,1
92,1.539345,113.98125,-0.0068,266.900625,868.077138,0.106896,4,1448.567661,-3.815407,9.287678,79,1
93,1.336733,114.513125,-0.0008,1364.11375,1052.673444,0.074305,4,1448.19785,-5.889189,8.963731,79,1
94,1.144209,114.585625,-0.0028,153.5425,1327.819013,0.004885,4,1448.047604,-6.102594,9.174749,79,1
95,1.27416,115.62875,-0.0012,36.693125,1697.602703,0,4,1448.11618,-6.273782,8.848033,79.208125,1
96,1.507823,116.864375,0.0092,929.71,2121.464968,0,4,1448.394723,-5.031471,8.994214,80.513125,1
97,1.598918,116.131875,-0.004,113.42625,2572.81236,0,4,1448.866774,-3.904985,8.985411,79.05625,1
98,1.377491,116.6925,0.0048,76.84875,3037.941009,0,4,1449.509594,-4.310145,9.464412,79.1125,1
99,1.584783,118.396323,0.001909,10.775348,3426.357964,0,4,1450.1412,-6.506846,8.091891,85.33367,1
100,1.751612,114.692913,0.003836,17.775225,964.912205,0.109294,4,1456.850325,-6.299839,7.583923,79,1
101,1.416316,113.088125,-0.004,6264.446875,1067.185059,0.064625,4,1455.538903,-4.726237,9.297589,79,1
102,1.429555,112.465625,0.0028,841.14875,1333.711624,0.005354,4,1453.982375,-3.597141,9.389567,79,1
103,1.415878,113.0975,0.0016,3362.59125,1660.969082,0,4,1452.519452,-4.854844,9.255193,79,1
104,1.471791,114.101875,-0.006,81.665625,1741.332013,0,4,1451.172928,-5.517787,8.690381,79,1
105,1.827758,115.290625,0.0068,117.490625,1735.259431,0,4,1449.967843,-4.944867,8.55265,79.961875,1
106,1.434454,115.750625,-0.0024,51.565625,1584.173305,0,4,1448.930335,-6.117732,8.476596,79.41625,1
107,1.546395,115.6975,-0.0016,47.79125,1394.557225,0.00006,4,1448.085882,-5.292654,8.854231,80.755,1
108,1.473478,115.246875,-0.0048,129.660625,1359.07124,0.000251,4,1447.457081,-4.793849,9.167933,81.5875,1
109,1.542451,115.926875,0.0028,673.63,1496.593651,0,4,1447.061166,-5.900023,8.553683,81.23875,1
110,1.414304,115.890625,0.0012,833.209375,1733.349042,0,4,1446.907696,-5.594949,8.895746,79.4725,1
111,1.467269,116.918125,0.0036,121.2575,2031.155356,0,4,1446.996836,-5.781291,8.905019,79.669375,1
112,1.196225,117.44625,0,17.845,2396.735824,0,4,1447.318707,-6.270729,8.90475,80.299375,1
113,1.637239,116.534375,0.0016,868.884375,2803.537071,0,4,1447.853935,-3.511674,9.278808,79.23625,1
114,1.321128,117.505,0.002,64.854375,3213.529731,0,4,1448.57544,-5.563436,8.896858,79.151875,1
115,1.807456,119.02795,-0.015906,23.944444,3489.041048,0,4,1449.182353,-5.248425,8.062745,79,1
116,2.344078,113.551724,-0.274286,13.285714,486.456701,0.331006,4,1457.617635,-2.89885,7.251059,79,1
117,1.743626,114.107214,0.00128,122.905333,496.270871,0.325796,4,1456.724622,-5.512707,8.479982,79,1
118,1.560584,113.470625,-0.0012,5060.08875,635.478082,0.309831,4,1455.071322,-4.915764,9.170288,79,1
119,1.338616,113.65625,-0.0064,94.310625,1002.990034,0.134043,4,1453.430924,-5.375906,9.052995,79,1
120,2.15517,115.434375,0.0048,174.35,1240.161393,0.031627,4,1451.880614,-5.862645,7.823398,82.219375,1
121,1.610366,114.455,0.0128,3200.77375,1242.730806,0.033609,4,1450.445455,-5.369062,8.805456,80.45125,1
122,1.493259,116.003125,-0.0072,10.421875,1330.44712,0.005609,4,1449.153807,-6.419038,8.292015,82.223125,1
123,1.520877,116.27,-0.0092,34.325625,1553.478369,0,4,1448.036122,-5.212228,8.632985,81.5875,1
124,1.847455,117.5275,0.0128,24.900625,1765.120452,0,4,1447.122926,-6.020701,8.163722,84.0625,1
125,1.727782,117.331875,0.0024,90.0575,1833.276303,0,4,1446.442073,-5.461338,8.282274,86.12125,1
126,1.834523,118.269375,0.0008,24.989375,1930.825206,0,4,1446.015536,-5.67267,8.107339,85.238125,1
127,1.589336,117.438125,-0.0044,1114.5275,2113.971993,0,4,1445.856262,-5.339264,8.848794,79.86625,1
128,1.405438,117.18125,0.0004,92.656875,2315.976456,0,4,1445.965749,-5.739264,8.835643,80.5075,1
129,1.39549,117.296875,-0.0152,42.930625,2530.113772,0,4,1446.333023,-5.181565,9.00656,79.135,1
130,1.596223,118.023125,0.0008,35.8125,2734.545626,0,4,1446.935303,-5.854365,8.218452,80.4625,1
131,1.419816,118.81875,0.0016,813.344375,2970.841589,0,4,1447.740285,-5.800909,8.884092,79,1
132,1.535456,119.764977,0.004111,31.620985,3159.597303,0,4,1448.362253,-4.957205,8.238283,79.174194,1
133,1.516741,113.826657,0.001418,74.253323,113.505849,0.637197,4,1456.395789,-4.973801,8.963437,79,1
134,1.686059,114.0525,0.0036,5001.713125,342.983516,0.708805,4,1454.74612,-4.60993,9.041243,79,1
135,1.494029,114.649375,-0.004,48.95125,741.604696,0.677105,4,1453.026101,-5.671782,8.827555,79.46125,1
136,2.023834,115.76375,0.002,21.795,752.993759,0.398719,4,1451.390934,-5.644952,7.921345,83.12875,1
137,1.588145,114.165,-0.0104,1016.196875,745.080158,0.328015,4,1449.867671,-4.938659,8.896769,79,1
138,1.384087,114.549375,0.0032,3343.633125,873.036857,0.237985,4,1448.487924,-5.209399,9.23652,79,1
139,1.692955,116.086875,0.0052,69.398125,1175.462276,0.056359,4,1447.286678,-5.079612,8.580174,79.590625,1
140,1.387129,116.805625,-0.008,35.636875,1519.264151,0,4,1446.300098,-5.246649,8.967844,82.133125,1
141,1.767015,118.104375,0.0028,30.885,1649.304856,0,4,1445.562177,-5.313681,8.194723,86.520625,1
142,1.996473,119.399375,0.0016,13.961875,1721.671732,0,4,1445.100642,-5.866764,7.833989,82.85875,1
143,1.541909,117.820625,0.0012,60.7375,1829.605344,0,4,1444.932731,-5.389306,8.671243,79,1
144,1.574062,117.61125,0.006,1028.554375,1955.079552,0,4,1445.061818,-5.322819,8.73321,79.03375,1
145,1.647376,119.19,0.01,26.22625,2092.268526,0,4,1445.475812,-5.631087,8.210671,80.1925,1
146,1.414773,119.685,-0.0032,32.7275,2288.089307,0,4,1446.147934,-6.167597,8.391238,79.894375,1
147,1.533887,120.120625,0.0008,762.744375,2560.694218,0,4,1447.039718,-4.71431,9.097586,79.556875,1
148,1.713095,120.828114,-0.002305,64.577089,2860.27392,0,4,1448.02926,-5.542997,8.16641,79,1
149,1.614335,125.962025,0.000813,13.09784,3270.424959,0,4,1449.290357,-5.977305,8.248386,79.092072,1
150,1.414815,128.692308,0.188235,0.470588,3509.715763,0,4,1450.004301,-13.719779,7.175759,79,1
151,1.721328,114.361253,0,13.298375,78.514762,0.867021,4,1456.292429,-5.51679,8.126643,79,1
152,1.904523,114.60625,-0.0056,4978.393125,197.509201,1.000767,4,1454.587654,-4.621827,8.644556,79.253125,1
153,1.594195,115.831875,-0.0068,39.863125,337.227068,0.901266,4,1452.796364,-5.249909,8.669715,81.2275,1
154,1.727506,116.825625,0.008,8.685,264.58491,0.595535,4,1451.083143,-5.690592,7.961246,82.301875,1
155,1.610083,115.5125,-0.004,70.7675,252.821849,0.553217,4,1449.476523,-5.140995,8.674359,79.106875,1
156,1.298535,115.341875,0.0036,81.86125,476.620527,0.494346,4,1448.011024,-6.006224,8.678471,79,1
157,1.393413,115.570625,-0.0032,2813.400625,825.735096,0.395215,4,1446.726163,-4.438965,9.334754,79,1
158,1.372035,116.134375,0.0012,1637.863125,1116.568425,0.135901,4,1445.664115,-4.579879,9.566908,79.76125,1
159,1.978701,118.384375,0.0036,1442.588125,1152.029223,0.066362,4,1444.865793,-5.403768,8.027945,83.7925,1
160,1.917279,119.038125,-0.0096,22.785,1234.982028,0.042319,4,1444.365715,-4.57627,8.255403,79.781875,1
161,1.477499,118.634375,-0.002,170.418125,1342.779603,0.004989,4,1444.18641,-4.894303,9.171302,79.19125,1
162,1.699775,118.575,-0.0072,687.248125,1476.171433,0,4,1444.333745,-5.579462,8.542836,79,1
163,1.595495,119.2625,-0.0036,314.55875,1622.842086,0,4,1444.794559,-5.589335,8.667681,79,1
164,1.601719,120.0725,-0.0032,31.046875,1862.701674,0,4,1445.537475,-5.362091,8.51312,79,1
165,1.556877,119.831875,-0.0004,485.993125,2188.242044,0,4,1446.516845,-3.889555,9.492991,79.275625,1
166,1.744874,120.367816,0.010726,173.81378,2453.736659,0,4,1447.300199,-4.567839,8.788231,79.771429,1
167,1.163761,114.137405,-0.010579,47.247934,243.759386,0.815294,4,1457.68713,-5.635928,9.919078,79,1
168,1.527436,113.494006,-0.00162,5649.539873,99.22938,0.986585,4,1456.505943,-3.76867,9.377618,79,1
169,1.449617,115.155,0.0096,394.59375,232.724286,1.171807,4,1454.619326,-6.170499,8.369103,79,1
170,1.333025,115.4575,0.0044,21.586875,146.519675,1.104559,4,1452.770043,-5.800588,8.762772,78.97875,1
